pipeline,window_s,outer_fold,study_name,number,value,state,params_band,params_dropout,params_hid,params_out,params_s_idx,user_attrs_outer_fold,user_attrs_window_s,params_C,params_max_pca,params_model
graph,4,3,eeg_graph_win4_fold3_20251014-065722,4,-0.5352217548788698,COMPLETE,alpha,0.3506857343847617,8.0,12.0,2.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,5,-0.6090304182409801,COMPLETE,theta,0.3272214925161949,16.0,12.0,0.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,6,-0.4603430564306142,COMPLETE,gamma,0.37075664739260933,16.0,12.0,1.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,7,-0.49703776390171805,COMPLETE,alpha,0.3339342241915651,12.0,12.0,2.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,8,-0.6609052108221115,COMPLETE,theta,0.3742909703912519,8.0,12.0,2.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,9,-0.5070266290272185,COMPLETE,gamma,0.3078646464236612,16.0,8.0,0.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,10,-0.6408451030430964,COMPLETE,delta,0.3279618509634565,12.0,8.0,3.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,11,-0.7339338595720056,COMPLETE,beta,0.28131767324633405,12.0,8.0,3.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,12,-0.9153551303437159,COMPLETE,delta,0.301258929108145,16.0,8.0,1.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,13,-0.8462384717644165,COMPLETE,delta,0.31662991032550236,12.0,8.0,1.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,14,-0.814384017129217,COMPLETE,delta,0.29133376372667263,8.0,8.0,1.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,15,-0.9161928291584189,COMPLETE,delta,0.34608557252922867,16.0,8.0,1.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,16,-0.9163324217760574,COMPLETE,delta,0.34920858011010586,16.0,8.0,1.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,17,-0.6973763383244626,COMPLETE,beta,0.3538098342126233,16.0,8.0,1.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,18,-0.9163702327745229,COMPLETE,delta,0.3481504647591311,16.0,8.0,1.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,19,-0.9161966446809707,COMPLETE,delta,0.3631817385851573,16.0,8.0,1.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,20,-0.915867014604741,COMPLETE,delta,0.33853966197833063,16.0,8.0,1.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,21,-0.9162585250830114,COMPLETE,delta,0.36596498751955514,16.0,8.0,1.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,22,-0.9164382128278672,COMPLETE,delta,0.35982206544561407,16.0,8.0,1.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,23,-0.9164471926230663,COMPLETE,delta,0.3581272290042428,16.0,8.0,1.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,24,-0.7452944702511536,COMPLETE,delta,0.358665064532653,16.0,8.0,3.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,25,-0.6748899555228896,COMPLETE,beta,0.34123593009865083,8.0,8.0,1.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,26,-0.916477285912315,COMPLETE,delta,0.37912771961436,16.0,8.0,1.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,27,-0.916477285912315,COMPLETE,delta,0.37924596461508353,16.0,8.0,1.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,28,-0.9166064801414602,COMPLETE,delta,0.3799211832364877,16.0,8.0,1.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,29,-0.674014594809818,COMPLETE,theta,0.3772148685228066,16.0,8.0,3.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,30,-0.7346648795106835,COMPLETE,beta,0.3792409614739189,8.0,8.0,2.0,3.0,4.0,,,
graph,4,3,eeg_graph_win4_fold3_20251014-065722,31,-0.9165212568879441,COMPLETE,delta,0.36976749450814195,16.0,8.0,1.0,3.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,0,-0.7475026011451295,COMPLETE,theta,0.29818249672071007,16.0,8.0,2.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,1,-0.5734061857737719,COMPLETE,alpha,0.2846450412719998,12.0,12.0,0.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,2,-0.6056541888270716,COMPLETE,gamma,0.3058779981600017,16.0,12.0,0.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,3,-0.7970558750172313,COMPLETE,delta,0.31253303307632646,12.0,8.0,0.0,4.0,4.0,,,
graph,4,4,eeg_graph_win4_fold4_20251014-070526,4,-0.5449339745814544,COMPLETE,alpha,0.3506857343847617,8.0,12.0,2.0,4.0,4.0,,,
